,8,1,2,3,4,5,6,7,8,-,Y,M,
"[8.0, 'M', 'Y', 'Y', 'Y', 'M', 'M', '-', 'M']",,,,,,,,"[0, None]",,,"[1, 0]",,
"[1.0, '-', '-', '-', 'Y', '-', '-', '-', '-']",,"[0, None]","[0, None]","[0, None]",,"[0, None]","[0, None]","[0, None]","[0, None]","[1, 0]",,,
"[2.0, '-', '-', '-', 'M', '-', '-', '-', 'Y']",,"[0, None]","[0, None]","[0, None]",,"[0, None]","[0, None]","[0, None]",,"[1, 1]",,,
"[3.0, '-', '-', '-', 'Y', '-', '-', '-', 'M']",,"[0, None]","[0, None]","[0, None]",,"[0, None]","[0, None]","[0, None]",,,"[1, 0]",,
"[4.0, '-', '-', '-', 'M', 'Y', '-', '-', 'Y']",,"[0, None]","[0, None]","[0, None]",,,"[0, None]","[0, None]",,,,"[1, 1]",
"[5.0, '-', '-', '-', 'Y', 'M', '-', 'Y', 'M']",,"[0, None]","[0, None]","[0, None]",,,"[0, None]",,,,"[1, 0]",,
"[6.0, '-', '-', '-', 'M', 'Y', 'Y', 'M', 'Y']",,"[0, None]","[0, None]","[0, None]",,,,,,,,"[1, 1]",
"[1.0, '-', '-', 'Y', '-', '-', '-', '-', '-']",,"[0, None]","[0, None]",,"[0, None]","[0, None]","[0, None]","[0, None]","[0, None]","[2, 0.0]",,,
"[2.0, '-', '-', 'M', '-', '-', '-', '-', '-']",,"[0, None]","[0, None]",,"[0, None]","[0, None]","[0, None]","[0, None]","[0, None]",,"[1, 0]",,
"[3.0, 'Y', '-', 'Y', '-', '-', '-', '-', '-']",,,"[0, None]",,"[0, None]","[0, None]","[0, None]","[0, None]","[0, None]",,,"[1, 0]",
"[4.0, 'M', 'Y', 'M', '-', '-', '-', '-', '-']",,,,,"[0, None]","[0, None]","[0, None]","[0, None]","[0, None]",,"[1, 0]",,
"[5.0, 'Y', 'M', 'Y', '-', '-', 'Y', '-', '-']",,,,,"[0, None]","[0, None]",,"[0, None]","[0, None]",,,"[1, 0]",
"[6.0, 'M', 'Y', 'M', '-', '-', 'M', 'Y', '-']",,,,,"[0, None]","[0, None]",,,"[0, None]",,"[1, 0]",,
"[7.0, 'Y', 'M', 'Y', '-', '-', 'Y', 'M', 'Y']",,,,,"[0, None]","[0, None]",,,,,,"[1, 0]",
"[8.0, 'M', 'Y', 'M', '-', 'Y', 'M', 'Y', 'M']",,,,,"[0, None]",,,,,,"[1, 0]",,
"[1.0, '-', '-', '-', '-', 'Y', '-', '-', '-']",,"[0, None]","[0, None]","[0, None]","[0, None]",,"[0, None]","[0, None]","[0, None]","[1, 1]",,,
"[2.0, 'Y', '-', '-', '-', 'M', '-', '-', '-']",,,"[0, None]","[0, None]","[0, None]",,"[0, None]","[0, None]","[0, None]","[1, 0]",,,
"[3.0, 'M', '-', '-', '-', 'Y', '-', 'Y', '-']",,,"[0, None]","[0, None]","[0, None]",,"[0, None]",,"[0, None]","[1, 1]",,,
"[4.0, 'Y', '-', '-', '-', 'M', '-', 'M', '-']",,,"[0, None]","[0, None]","[0, None]",,"[0, None]",,"[0, None]",,"[1, 0]",,
"[5.0, 'M', '-', '-', 'Y', 'Y', '-', 'Y', '-']",,,"[0, None]","[0, None]",,,"[0, None]",,"[0, None]",,,"[1, 1]",
"[6.0, 'Y', '-', 'Y', 'M', 'M', '-', 'M', '-']",,,"[0, None]",,,,"[0, None]",,"[0, None]",,"[1, 0]",,
"[7.0, 'M', 'Y', 'M', 'Y', 'Y', '-', 'Y', '-']",,,,,,,"[0, None]",,"[0, None]",,,"[1, 1]",
"[2.0, '-', '-', 'M', '-', '-', '-', '-', 'Y']",,"[0, None]","[0, None]",,"[0, None]","[0, None]","[0, None]","[0, None]",,"[1, 1]",,,
"[3.0, 'Y', '-', 'Y', '-', '-', '-', '-', 'M']",,,"[0, None]",,"[0, None]","[0, None]","[0, None]","[0, None]",,"[1, 0]",,,
"[4.0, 'M', '-', 'M', '-', '-', 'Y', '-', 'Y']",,,"[0, None]",,"[0, None]","[0, None]",,"[0, None]",,"[1, 1]",,,
"[5.0, 'Y', '-', 'Y', 'Y', '-', 'M', '-', 'M']",,,"[0, None]",,,"[0, None]",,"[0, None]",,"[1, 0]",,,
"[6.0, 'M', '-', 'M', 'M', '-', 'Y', '-', 'Y']",,,"[0, None]",,,"[0, None]",,"[0, None]",,,"[1, 1]",,
"[nan, 'gameboard_stamp', 'pick', 'x_or_o', 'victory', 'timestamp', nan, nan, nan]",,,,,,,,,,,,,"[10, 0.0]"
"[0.0, ""['-', '-', '-', '-', '-', '-', '-', '-', '-']"", '1', 'X', 'in progress', '2023-12-11 15:57:10.123406', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[1.0, ""['-', 'X', '-', '-', '-', '-', '-', '-', '-']"", '3', 'O', 'in progress', '2023-12-11 15:57:10.123406', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[2.0, ""['-', 'X', '-', 'O', '-', '-', '-', '-', '-']"", '6', 'X', 'in progress', '2023-12-11 15:57:10.123406', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[3.0, ""['-', 'X', '-', 'O', '-', '-', 'X', '-', '-']"", '8', 'O', 'in progress', '2023-12-11 15:57:10.123406', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[4.0, ""['-', 'X', '-', 'O', '-', '-', 'X', '-', 'O']"", '4', 'X', 'in progress', '2023-12-11 15:57:10.123406', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[5.0, ""['-', 'X', '-', 'O', 'X', '-', 'X', '-', 'O']"", '2', 'O', 'in progress', '2023-12-11 15:57:10.123406', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[6.0, ""['-', 'X', 'O', 'O', 'X', '-', 'X', '-', 'O']"", '5', 'X', 'in progress', '2023-12-11 15:57:10.123406', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[7.0, ""['-', 'X', 'O', 'O', 'X', 'X', 'X', '-', 'O']"", '7', 'O', 'in progress', '2023-12-11 15:57:10.123406', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[8.0, ""['-', 'X', 'O', 'O', 'X', 'X', 'X', 'O', 'O']"", '0', 'X', 'in progress', '2023-12-11 15:57:10.123406', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[0.0, ""['-', '-', '-', '-', '-', '-', '-', '-', '-']"", '8', 'X', 'in progress', '2023-12-11 15:57:10.170562', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[1.0, ""['-', '-', '-', '-', '-', '-', '-', '-', 'X']"", '6', 'O', 'in progress', '2023-12-11 15:57:10.170562', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[2.0, ""['-', '-', '-', '-', '-', '-', 'O', '-', 'X']"", '2', 'X', 'in progress', '2023-12-11 15:57:10.170562', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[3.0, ""['-', '-', 'X', '-', '-', '-', 'O', '-', 'X']"", '0', 'O', 'in progress', '2023-12-11 15:57:10.170562', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[4.0, ""['O', '-', 'X', '-', '-', '-', 'O', '-', 'X']"", '1', 'X', 'in progress', '2023-12-11 15:57:10.170562', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[5.0, ""['O', 'X', 'X', '-', '-', '-', 'O', '-', 'X']"", '3', 'O', 'in progress', '2023-12-11 15:57:10.170562', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[0.0, ""['-', '-', '-', '-', '-', '-', '-', '-', '-']"", '5', 'X', 'in progress', '2023-12-11 15:57:10.186211', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
