,gameboard_stamp,pick,x_or_o,victory,timestamp
8,"['O', 'O', 'X', '-', 'X', 'X', 'O', 'X', 'O']",3,X,in progress,2023-12-11 16:00:36.173794
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",2,X,in progress,2023-12-11 16:00:36.173794
1,"['-', '-', 'X', '-', '-', '-', '-', '-', '-']",7,O,in progress,2023-12-11 16:00:36.173794
2,"['-', '-', 'X', '-', '-', '-', '-', 'O', '-']",4,X,in progress,2023-12-11 16:00:36.173794
3,"['-', '-', 'X', '-', 'X', '-', '-', 'O', '-']",3,O,in progress,2023-12-11 16:00:36.173794
4,"['-', '-', 'X', 'O', 'X', '-', '-', 'O', '-']",5,X,in progress,2023-12-11 16:00:36.173794
5,"['-', '-', 'X', 'O', 'X', 'X', '-', 'O', '-']",0,O,in progress,2023-12-11 16:00:36.173794
6,"['O', '-', 'X', 'O', 'X', 'X', '-', 'O', '-']",6,X,in progress,2023-12-11 16:00:36.173794
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",2,X,in progress,2023-12-11 16:00:36.173794
1,"['-', '-', 'X', '-', '-', '-', '-', '-', '-']",7,O,in progress,2023-12-11 16:00:36.173794
2,"['-', '-', 'X', '-', '-', '-', '-', 'O', '-']",4,X,in progress,2023-12-11 16:00:36.173794
3,"['-', '-', 'X', '-', 'X', '-', '-', 'O', '-']",3,O,in progress,2023-12-11 16:00:36.173794
4,"['-', '-', 'X', 'O', 'X', '-', '-', 'O', '-']",5,X,in progress,2023-12-11 16:00:36.173794
5,"['-', '-', 'X', 'O', 'X', 'X', '-', 'O', '-']",0,O,in progress,2023-12-11 16:00:36.173794
6,"['O', '-', 'X', 'O', 'X', 'X', '-', 'O', '-']",6,X,in progress,2023-12-11 16:00:36.173794
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",5,X,in progress,2023-12-11 16:00:36.173794
1,"['-', '-', '-', '-', '-', 'X', '-', '-', '-']",1,O,in progress,2023-12-11 16:00:36.173794
2,"['-', 'O', '-', '-', '-', 'X', '-', '-', '-']",8,X,in progress,2023-12-11 16:00:36.173794
3,"['-', 'O', '-', '-', '-', 'X', '-', '-', 'X']",4,O,in progress,2023-12-11 16:00:36.173794
4,"['-', 'O', '-', '-', 'O', 'X', '-', '-', 'X']",6,X,in progress,2023-12-11 16:00:36.173794
5,"['-', 'O', '-', '-', 'O', 'X', 'X', '-', 'X']",2,O,in progress,2023-12-11 16:00:36.173794
6,"['-', 'O', 'O', '-', 'O', 'X', 'X', '-', 'X']",0,X,in progress,2023-12-11 16:00:36.173794
7,"['X', 'O', 'O', '-', 'O', 'X', 'X', '-', 'X']",3,O,in progress,2023-12-11 16:00:36.173794
8,"['X', 'O', 'O', 'O', 'O', 'X', 'X', '-', 'X']",7,X,in progress,2023-12-11 16:00:36.173794
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",5,X,in progress,2023-12-11 16:00:36.173794
1,"['-', '-', '-', '-', '-', 'X', '-', '-', '-']",1,O,in progress,2023-12-11 16:00:36.173794
2,"['-', 'O', '-', '-', '-', 'X', '-', '-', '-']",8,X,in progress,2023-12-11 16:00:36.173794
3,"['-', 'O', '-', '-', '-', 'X', '-', '-', 'X']",4,O,in progress,2023-12-11 16:00:36.173794
4,"['-', 'O', '-', '-', 'O', 'X', '-', '-', 'X']",6,X,in progress,2023-12-11 16:00:36.173794
5,"['-', 'O', '-', '-', 'O', 'X', 'X', '-', 'X']",2,O,in progress,2023-12-11 16:00:36.173794
6,"['-', 'O', 'O', '-', 'O', 'X', 'X', '-', 'X']",0,X,in progress,2023-12-11 16:00:36.173794
7,"['X', 'O', 'O', '-', 'O', 'X', 'X', '-', 'X']",3,O,in progress,2023-12-11 16:00:36.173794
8,"['X', 'O', 'O', 'O', 'O', 'X', 'X', '-', 'X']",7,X,in progress,2023-12-11 16:00:36.173794
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",0,X,in progress,2023-12-11 16:00:36.173794
1,"['X', '-', '-', '-', '-', '-', '-', '-', '-']",8,O,in progress,2023-12-11 16:00:36.173794
2,"['X', '-', '-', '-', '-', '-', '-', '-', 'O']",1,X,in progress,2023-12-11 16:00:36.173794
3,"['X', 'X', '-', '-', '-', '-', '-', '-', 'O']",6,O,in progress,2023-12-11 16:00:36.173794
4,"['X', 'X', '-', '-', '-', '-', 'O', '-', 'O']",2,X,in progress,2023-12-11 16:00:36.173794
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",0,X,in progress,2023-12-11 16:00:36.173794
1,"['X', '-', '-', '-', '-', '-', '-', '-', '-']",8,O,in progress,2023-12-11 16:00:36.173794
2,"['X', '-', '-', '-', '-', '-', '-', '-', 'O']",1,X,in progress,2023-12-11 16:00:36.173794
3,"['X', 'X', '-', '-', '-', '-', '-', '-', 'O']",6,O,in progress,2023-12-11 16:00:36.173794
4,"['X', 'X', '-', '-', '-', '-', 'O', '-', 'O']",2,X,in progress,2023-12-11 16:00:36.173794
